"year","ISO","total_best","conflict_flag"
2000,"AFG",5065,1
2001,"AFG",5394,1
2002,"AFG",5553,1
2003,"AFG",1157,1
2004,"AFG",944,1
2005,"AFG",817,1
2006,"AFG",1711,1
2007,"AFG",4982,1
2008,"AFG",7020,1
2009,"AFG",5660,1
2010,"AFG",6499,1
2011,"AFG",7151,1
2012,"AFG",7563,1
2013,"AFG",7824,1
2014,"AFG",8131,1
2015,"AFG",12549,1
2016,"AFG",17987,1
2017,"AFG",18719,1
2018,"AFG",19776,1
2019,"AFG",26889,1
2000,"AGO",2666,1
2001,"AGO",1206,1
2002,"AGO",2154,1
2003,"AGO",579,1
2004,"AGO",84,1
2005,"AGO",38,1
2006,"AGO",15,0
2007,"AGO",3,0
2008,"AGO",26,1
2009,"AGO",4,0
2010,"AGO",25,1
2011,"AGO",10,0
2012,"AGO",1,0
2013,"AGO",0,0
2014,"AGO",2,0
2015,"AGO",0,0
2016,"AGO",1,0
2017,"AGO",26,1
2018,"AGO",26,1
2019,"AGO",24,0
2000,"ALB",6,0
2001,"ALB",0,0
2002,"ALB",0,0
2003,"ALB",0,0
2004,"ALB",0,0
2005,"ALB",0,0
2006,"ALB",0,0
2007,"ALB",0,0
2008,"ALB",0,0
2009,"ALB",0,0
2010,"ALB",0,0
2011,"ALB",0,0
2012,"ALB",0,0
2013,"ALB",0,0
2014,"ALB",0,0
2015,"ALB",0,0
2016,"ALB",0,0
2017,"ALB",0,0
2018,"ALB",0,0
2019,"ALB",0,0
2000,"AND",0,0
2001,"AND",0,0
2002,"AND",0,0
2003,"AND",0,0
2004,"AND",0,0
2005,"AND",0,0
2006,"AND",0,0
2007,"AND",0,0
2008,"AND",0,0
2009,"AND",0,0
2010,"AND",0,0
2011,"AND",0,0
2012,"AND",0,0
2013,"AND",0,0
2014,"AND",0,0
2015,"AND",0,0
2016,"AND",0,0
2017,"AND",0,0
2018,"AND",0,0
2019,"AND",0,0
2000,"ARE",0,0
2001,"ARE",0,0
2002,"ARE",0,0
2003,"ARE",0,0
2004,"ARE",0,0
2005,"ARE",0,0
2006,"ARE",0,0
2007,"ARE",0,0
2008,"ARE",0,0
2009,"ARE",0,0
2010,"ARE",0,0
2011,"ARE",1,0
2012,"ARE",0,0
2013,"ARE",0,0
2014,"ARE",0,0
2015,"ARE",0,0
2016,"ARE",0,0
2017,"ARE",0,0
2018,"ARE",0,0
2019,"ARE",0,0
2000,"ARG",0,0
2001,"ARG",0,0
2002,"ARG",0,0
2003,"ARG",0,0
2004,"ARG",0,0
2005,"ARG",0,0
2006,"ARG",0,0
2007,"ARG",0,0
2008,"ARG",0,0
2009,"ARG",0,0
2010,"ARG",0,0
2011,"ARG",0,0
2012,"ARG",0,0
2013,"ARG",0,0
2014,"ARG",0,0
2015,"ARG",0,0
2016,"ARG",0,0
2017,"ARG",0,0
2018,"ARG",0,0
2019,"ARG",0,0
2000,"ARM",0,0
2001,"ARM",0,0
2002,"ARM",0,0
2003,"ARM",0,0
2004,"ARM",0,0
2005,"ARM",0,0
2006,"ARM",1,0
2007,"ARM",2,0
2008,"ARM",0,0
2009,"ARM",0,0
2010,"ARM",0,0
2011,"ARM",0,0
2012,"ARM",0,0
2013,"ARM",9,0
2014,"ARM",1,0
2015,"ARM",0,0
2016,"ARM",16,0
2017,"ARM",4,0
2018,"ARM",0,0
2019,"ARM",1,0
2000,"ATG",0,0
2001,"ATG",0,0
2002,"ATG",0,0
2003,"ATG",0,0
2004,"ATG",0,0
2005,"ATG",0,0
2006,"ATG",0,0
2007,"ATG",0,0
2008,"ATG",0,0
2009,"ATG",0,0
2010,"ATG",0,0
2011,"ATG",0,0
2012,"ATG",0,0
2013,"ATG",0,0
2014,"ATG",0,0
2015,"ATG",0,0
2016,"ATG",0,0
2017,"ATG",0,0
2018,"ATG",0,0
2019,"ATG",0,0
2000,"AUS",0,0
2001,"AUS",0,0
2002,"AUS",0,0
2003,"AUS",0,0
2004,"AUS",0,0
2005,"AUS",0,0
2006,"AUS",0,0
2007,"AUS",0,0
2008,"AUS",0,0
2009,"AUS",0,0
2010,"AUS",0,0
2011,"AUS",0,0
2012,"AUS",0,0
2013,"AUS",0,0
2014,"AUS",0,0
